_cusip,_name,_price,_ticker
22420,Insmed Inc,19.0,INSM
28136,Peregrine Pharmaceuticals Inc,0.97,PPHM
74244,New York Community Bancorp,18.02,NYCB
90417,Newfield Exploration Company,32.58,NFX
64036,Thermo Fisher Scientific Inc,118.92,TMO
27735,Target Corp,77.88,TGT
44788,Google Inc Class C,600.25,GOOG
40396,Sigma-Aldrich Corp,138.75,SIAL
37792,Gap Inc,30.56,GPS
35143,Myriad Genetics,37.57,MYGN
94094,Allscripts Healthcare Solutions,12.58,MDRX
29437,Tetraphase Pharmaceuticals Inc,8.12,TTPH
88383,NiSource Inc,17.77,NI
76404,Invesco Mortgage Capital Inc,12.44,IVR
89095,Solera Holdings,55.68,SLH
